Time Block,From Time,To Time,Revision Value (MW),GDAM Value (MW),Difference,Multiplier,RTM Bid Value (MW),Create RTM Bid
50,12:15:00,12:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
51,12:30:00,12:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
52,12:45:00,13:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
53,13:00:00,13:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
54,13:15:00,13:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
55,13:30:00,13:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
56,13:45:00,14:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
57,14:00:00,14:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
58,14:15:00,14:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
59,14:30:00,14:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
60,14:45:00,15:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
61,15:00:00,15:15:00,1.0,0.5,0.5,0.9243,0.5,Yes
62,15:15:00,15:30:00,1.0,0.5,0.5,0.9243,0.5,Yes
63,15:30:00,15:45:00,1.0,0.5,0.5,0.9243,0.5,Yes
64,15:45:00,16:00:00,1.0,0.5,0.5,0.9243,0.5,Yes
65,16:00:00,16:15:00,1.0,0.5,0.5,0.9243,0.5,Yes
66,16:15:00,16:30:00,1.0,0.5,0.5,0.9243,0.5,Yes
67,16:30:00,16:45:00,1.0,0.5,0.5,0.9243,0.5,Yes
68,16:45:00,17:00:00,1.0,0.5,0.5,0.9243,0.5,Yes
69,17:00:00,17:15:00,1.0,0.5,0.5,0.9243,0.5,Yes
70,17:15:00,17:30:00,1.0,0.5,0.5,0.9243,0.5,Yes
71,17:30:00,17:45:00,1.0,0.5,0.5,0.9243,0.5,Yes
72,17:45:00,18:00:00,1.0,0.5,0.5,0.9243,0.5,Yes
73,18:00:00,18:15:00,1.0,0.5,0.5,0.9243,0.5,Yes
74,18:15:00,18:30:00,1.0,0.5,0.5,0.9243,0.5,Yes
75,18:30:00,18:45:00,1.0,0.5,0.5,0.9243,0.5,Yes
76,18:45:00,19:00:00,1.03,0.5,0.53,0.9243,0.5,Yes
77,19:00:00,19:15:00,1.0,0.5,0.5,0.9243,0.5,Yes
78,19:15:00,19:30:00,0.97,0.5,0.47,0.9243,0.4,Yes
79,19:30:00,19:45:00,0.97,0.5,0.47,0.9243,0.4,Yes
80,19:45:00,20:00:00,0.97,0.5,0.47,0.9243,0.4,Yes
81,20:00:00,20:15:00,0.87,0.5,0.37,0.9243,0.3,Yes
82,20:15:00,20:30:00,0.77,0.5,0.27,0.9243,0.2,Yes
83,20:30:00,20:45:00,0.67,0.5,0.17,0.9243,0.2,Yes
84,20:45:00,21:00:00,0.6,0.5,0.1,0.9243,0.1,Yes
85,21:00:00,21:15:00,0.54,0.5,0.04,0.9243,0.0,No
86,21:15:00,21:30:00,0.47,0.5,-0.03,0.9243,0.0,No
87,21:30:00,21:45:00,0.4,0.5,-0.1,0.9243,0.0,No
88,21:45:00,22:00:00,0.36,0.5,-0.14,0.9243,0.0,No
89,22:00:00,22:15:00,0.37,0.5,-0.13,0.9243,0.0,No
90,22:15:00,22:30:00,0.39,0.5,-0.11,0.9243,0.0,No
91,22:30:00,22:45:00,0.4,0.5,-0.1,0.9243,0.0,No
92,22:45:00,23:00:00,0.41,0.5,-0.09,0.9243,0.0,No
93,23:00:00,23:15:00,0.48,0.5,-0.02,0.9243,0.0,No
94,23:15:00,23:30:00,0.55,0.5,0.05,0.9243,0.0,No
95,23:30:00,23:45:00,0.62,0.5,0.12,0.9243,0.1,Yes
96,23:45:00,00:00:00,0.7,0.5,0.2,0.9243,0.2,Yes
